12/09/2014 11:09:41 AM DEBUG: Loading data...
12/09/2014 11:09:41 AM DEBUG: Loading data...
12/09/2014 11:09:41 AM DEBUG: Initialize AveragePerceptronLearner ... 
12/09/2014 11:09:41 AM DEBUG: Loading data...
12/09/2014 11:09:41 AM DEBUG: Loading section 02 
12/09/2014 11:09:51 AM DEBUG: Loading section 03 
12/09/2014 11:10:01 AM DEBUG: Loading section 04 
12/09/2014 11:10:15 AM DEBUG: Loading section 05 
12/09/2014 11:10:28 AM DEBUG: Loading section 06 
12/09/2014 11:10:40 AM DEBUG: Loading section 07 
12/09/2014 11:10:54 AM DEBUG: Loading section 08 
12/09/2014 11:10:57 AM DEBUG: Loading section 09 
12/09/2014 11:11:11 AM DEBUG: Loading section 10 
12/09/2014 11:11:21 AM DEBUG: Loading section 11 
12/09/2014 11:11:38 AM DEBUG: Loading section 12 
12/09/2014 11:11:48 AM DEBUG: Loading section 13 
12/09/2014 11:12:07 AM DEBUG: Loading section 14 
12/09/2014 11:12:18 AM DEBUG: Loading section 15 
12/09/2014 11:12:37 AM DEBUG: Loading section 16 
12/09/2014 11:12:51 AM DEBUG: Loading section 17 
12/09/2014 11:12:59 AM DEBUG: Loading section 18 
12/09/2014 11:13:22 AM DEBUG: Loading section 19 
12/09/2014 11:13:31 AM DEBUG: Loading section 20 
12/09/2014 11:13:41 AM DEBUG: Loading section 21 
12/09/2014 11:13:49 AM DEBUG: Starting sequential train ... 
12/09/2014 11:13:49 AM DEBUG: Iteration: 0
12/09/2014 11:13:49 AM DEBUG: Data size: 39832
12/09/2014 11:13:49 AM DEBUG: Data finishing 0.00% ...
12/09/2014 11:16:27 AM DEBUG: Data finishing 2.51% ...
12/09/2014 11:18:58 AM DEBUG: Data finishing 5.02% ...
12/09/2014 11:21:29 AM DEBUG: Data finishing 7.53% ...
12/09/2014 11:23:50 AM DEBUG: Data finishing 10.04% ...
12/09/2014 11:26:13 AM DEBUG: Data finishing 12.55% ...
12/09/2014 11:29:00 AM DEBUG: Data finishing 15.06% ...
12/09/2014 11:31:29 AM DEBUG: Data finishing 17.57% ...
12/09/2014 11:34:04 AM DEBUG: Data finishing 20.08% ...
12/09/2014 11:36:42 AM DEBUG: Data finishing 22.59% ...
12/09/2014 11:39:09 AM DEBUG: Data finishing 25.11% ...
12/09/2014 11:41:36 AM DEBUG: Data finishing 27.62% ...
12/09/2014 11:43:56 AM DEBUG: Data finishing 30.13% ...
12/09/2014 11:46:35 AM DEBUG: Data finishing 32.64% ...
12/09/2014 11:49:05 AM DEBUG: Data finishing 35.15% ...
12/09/2014 11:51:37 AM DEBUG: Data finishing 37.66% ...
12/09/2014 11:54:07 AM DEBUG: Data finishing 40.17% ...
12/09/2014 11:56:36 AM DEBUG: Data finishing 42.68% ...
12/09/2014 11:58:55 AM DEBUG: Data finishing 45.19% ...
12/09/2014 12:01:25 PM DEBUG: Data finishing 47.70% ...
12/09/2014 12:03:41 PM DEBUG: Data finishing 50.21% ...
12/09/2014 12:05:59 PM DEBUG: Data finishing 52.72% ...
12/09/2014 12:08:20 PM DEBUG: Data finishing 55.23% ...
12/09/2014 12:10:44 PM DEBUG: Data finishing 57.74% ...
12/09/2014 12:13:25 PM DEBUG: Data finishing 60.25% ...
12/09/2014 12:15:48 PM DEBUG: Data finishing 62.76% ...
12/09/2014 12:18:16 PM DEBUG: Data finishing 65.27% ...
12/09/2014 12:20:42 PM DEBUG: Data finishing 67.78% ...
12/09/2014 12:23:18 PM DEBUG: Data finishing 70.30% ...
12/09/2014 12:25:59 PM DEBUG: Data finishing 72.81% ...
12/09/2014 12:28:23 PM DEBUG: Data finishing 75.32% ...
12/09/2014 12:30:38 PM DEBUG: Data finishing 77.83% ...
12/09/2014 12:33:07 PM DEBUG: Data finishing 80.34% ...
12/09/2014 12:35:40 PM DEBUG: Data finishing 82.85% ...
12/09/2014 12:38:09 PM DEBUG: Data finishing 85.36% ...
12/09/2014 12:40:51 PM DEBUG: Data finishing 87.87% ...
12/09/2014 12:43:12 PM DEBUG: Data finishing 90.38% ...
12/09/2014 12:45:35 PM DEBUG: Data finishing 92.89% ...
12/09/2014 12:48:04 PM DEBUG: Data finishing 95.40% ...
12/09/2014 12:50:32 PM DEBUG: Data finishing 97.91% ...
12/09/2014 12:53:00 PM DEBUG: Iteration: 1
12/09/2014 12:53:00 PM DEBUG: Data size: 39832
12/09/2014 12:53:00 PM DEBUG: Data finishing 0.00% ...
12/09/2014 12:53:08 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_0.db 
12/09/2014 12:53:08 PM DEBUG: Total Feature Num: 9534142 
12/09/2014 12:55:49 PM DEBUG: Data finishing 2.51% ...
12/09/2014 12:58:25 PM DEBUG: Data finishing 5.02% ...
12/09/2014 01:01:00 PM DEBUG: Data finishing 7.53% ...
12/09/2014 01:03:24 PM DEBUG: Data finishing 10.04% ...
12/09/2014 01:05:51 PM DEBUG: Data finishing 12.55% ...
12/09/2014 01:08:41 PM DEBUG: Data finishing 15.06% ...
12/09/2014 01:11:12 PM DEBUG: Data finishing 17.57% ...
12/09/2014 01:13:50 PM DEBUG: Data finishing 20.08% ...
12/09/2014 01:16:31 PM DEBUG: Data finishing 22.59% ...
12/09/2014 01:19:02 PM DEBUG: Data finishing 25.11% ...
12/09/2014 01:21:31 PM DEBUG: Data finishing 27.62% ...
12/09/2014 01:23:53 PM DEBUG: Data finishing 30.13% ...
12/09/2014 01:26:35 PM DEBUG: Data finishing 32.64% ...
12/09/2014 01:29:07 PM DEBUG: Data finishing 35.15% ...
12/09/2014 01:31:40 PM DEBUG: Data finishing 37.66% ...
12/09/2014 01:34:12 PM DEBUG: Data finishing 40.17% ...
12/09/2014 01:36:42 PM DEBUG: Data finishing 42.68% ...
12/09/2014 01:39:01 PM DEBUG: Data finishing 45.19% ...
12/09/2014 01:41:34 PM DEBUG: Data finishing 47.70% ...
12/09/2014 01:43:52 PM DEBUG: Data finishing 50.21% ...
12/09/2014 01:46:13 PM DEBUG: Data finishing 52.72% ...
12/09/2014 01:48:37 PM DEBUG: Data finishing 55.23% ...
12/09/2014 01:51:03 PM DEBUG: Data finishing 57.74% ...
12/09/2014 01:53:46 PM DEBUG: Data finishing 60.25% ...
12/09/2014 01:56:11 PM DEBUG: Data finishing 62.76% ...
12/09/2014 01:58:42 PM DEBUG: Data finishing 65.27% ...
12/09/2014 02:01:06 PM DEBUG: Data finishing 67.78% ...
12/09/2014 02:03:43 PM DEBUG: Data finishing 70.30% ...
12/09/2014 02:06:25 PM DEBUG: Data finishing 72.81% ...
12/09/2014 02:08:50 PM DEBUG: Data finishing 75.32% ...
12/09/2014 02:11:06 PM DEBUG: Data finishing 77.83% ...
12/09/2014 02:13:36 PM DEBUG: Data finishing 80.34% ...
12/09/2014 02:16:10 PM DEBUG: Data finishing 82.85% ...
12/09/2014 02:18:38 PM DEBUG: Data finishing 85.36% ...
12/09/2014 02:21:22 PM DEBUG: Data finishing 87.87% ...
12/09/2014 02:23:44 PM DEBUG: Data finishing 90.38% ...
12/09/2014 02:26:07 PM DEBUG: Data finishing 92.89% ...
12/09/2014 02:28:36 PM DEBUG: Data finishing 95.40% ...
12/09/2014 02:31:04 PM DEBUG: Data finishing 97.91% ...
12/09/2014 02:33:35 PM DEBUG: Iteration: 2
12/09/2014 02:33:35 PM DEBUG: Data size: 39832
12/09/2014 02:33:35 PM DEBUG: Data finishing 0.00% ...
12/09/2014 02:33:43 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_1.db 
12/09/2014 02:33:43 PM DEBUG: Total Feature Num: 9886118 
12/09/2014 02:36:19 PM DEBUG: Data finishing 2.51% ...
12/09/2014 02:38:54 PM DEBUG: Data finishing 5.02% ...
12/09/2014 02:41:28 PM DEBUG: Data finishing 7.53% ...
12/09/2014 02:43:51 PM DEBUG: Data finishing 10.04% ...
12/09/2014 02:46:16 PM DEBUG: Data finishing 12.55% ...
12/09/2014 02:49:05 PM DEBUG: Data finishing 15.06% ...
12/09/2014 02:51:35 PM DEBUG: Data finishing 17.57% ...
12/09/2014 02:54:12 PM DEBUG: Data finishing 20.08% ...
12/09/2014 02:56:52 PM DEBUG: Data finishing 22.59% ...
12/09/2014 02:59:21 PM DEBUG: Data finishing 25.11% ...
12/09/2014 03:01:49 PM DEBUG: Data finishing 27.62% ...
12/09/2014 03:04:10 PM DEBUG: Data finishing 30.13% ...
12/09/2014 03:06:50 PM DEBUG: Data finishing 32.64% ...
12/09/2014 03:09:21 PM DEBUG: Data finishing 35.15% ...
12/09/2014 03:11:53 PM DEBUG: Data finishing 37.66% ...
12/09/2014 03:14:24 PM DEBUG: Data finishing 40.17% ...
12/09/2014 03:16:53 PM DEBUG: Data finishing 42.68% ...
12/09/2014 03:19:11 PM DEBUG: Data finishing 45.19% ...
12/09/2014 03:21:43 PM DEBUG: Data finishing 47.70% ...
12/09/2014 03:24:00 PM DEBUG: Data finishing 50.21% ...
12/09/2014 03:26:20 PM DEBUG: Data finishing 52.72% ...
12/09/2014 03:28:44 PM DEBUG: Data finishing 55.23% ...
12/09/2014 03:31:10 PM DEBUG: Data finishing 57.74% ...
12/09/2014 03:33:52 PM DEBUG: Data finishing 60.25% ...
12/09/2014 03:36:17 PM DEBUG: Data finishing 62.76% ...
12/09/2014 03:38:47 PM DEBUG: Data finishing 65.27% ...
12/09/2014 03:41:11 PM DEBUG: Data finishing 67.78% ...
12/09/2014 03:43:48 PM DEBUG: Data finishing 70.30% ...
12/09/2014 03:46:30 PM DEBUG: Data finishing 72.81% ...
12/09/2014 03:48:54 PM DEBUG: Data finishing 75.32% ...
12/09/2014 03:51:10 PM DEBUG: Data finishing 77.83% ...
12/09/2014 03:53:40 PM DEBUG: Data finishing 80.34% ...
12/09/2014 03:56:14 PM DEBUG: Data finishing 82.85% ...
12/09/2014 03:58:43 PM DEBUG: Data finishing 85.36% ...
12/09/2014 04:01:26 PM DEBUG: Data finishing 87.87% ...
