'(32, 39, [25], 2)' 2
'(10, 27, [40], 2)' 2
'(7, 10, [43], 2)' 2
'(40, 43, [37], 2)' 2
'(22, 42, [6], 1)' 1
'(17, 31, [15], 1)' 1
'(21, 3, [43], 2)' 2
'(11, 19, [0], 1)' 1
'(19, 33, [17], 2)' 2
'(16, 8, [5], 2)' 2
'(9, 4, [21], 2)' 2
'(9, 3, [39], 2)' 2
'(27, 40, [42], 2)' 2
'(14, 20, [13], 2)' 2
'(31, 25, [23], 2)' 2
'(23, 22, [17], 2)' 1
'(10, 13, [14], 2)' 2
'(23, 28, [2], 1)' 1
'(23, 13, [34], 2)' 2
'(17, 41, [11], 1)' 1
'(19, 3, [43], 2)' 2
'(26, 36, [7], 2)' 2
'(16, 29, [2], 2)' 2
'(3, 24, [37], 1)' 1
'(19, 30, [4], 2)' 2
'(18, 26, [35], 2)' 2
'(13, 17, [22], 2)' 2
'(13, 15, [39], 2)' 2
'(28, 39, [41], 1)' 1
'(16, 1, [40], 2)' 2
'(10, 6, [26], 2)' 2
'(28, 29, [11], 1)' 1
'(3, 10, [25], 1)' 1
'(21, 24, [30], 2)' 2
'(42, 5, [43], 2)' 2
'(39, 42, [3], 1)' 1
'(29, 31, [10], 1)' 1
'(0, 3, [40], 1)' 1
'(8, 21, [29], 1)' 1
'(22, 39, [20], 2)' 2
'(38, 39, [35], 1)' 1
'(37, 41, [17], 2)' 2
'(31, 38, [17], 1)' 1
'(13, 30, [33], 2)' 2
'(17, 1, [41], 2)' 2
'(11, 12, [26], 1)' 1
'(29, 31, [21], 1)' 1
'(28, 1, [38], 2)' 2
'(21, 16, [33], 2)' 2
'(31, 41, [14], 2)' 2
'(20, 31, [43], 2)' 2
'(23, 35, [21], 1)' 1
'(11, 28, [34], 1)' 1
'(8, 17, [34], 2)' 2
'(17, 15, [7], 2)' 2
'(8, 11, [20], 2)' 2
'(42, 21, [2], 2)' 2
'(30, 38, [28], 1)' 1
'(38, 27, [6], 2)' 2
'(15, 18, [23], 1)' 1
'(38, 30, [18], 2)' 2
'(13, 6, [31], 2)' 2
